SAMPLE_ID	PLATE_ID	LOCATION_ID	CELL_ID	TREATMENT	REPLICATE	TIMEPOINT	EXP_ID	CONCENTRATION	KIDNEY_CODE	PERCENTAGE_MAPPED
S_12003_PPT_1	RatKidney	PPT	1	CIS	2	480	BCL_SP_0195_LCM	5	12003	0.65
S_12005	RatKidney	WHOLE	1	CIS	3	288	BCL_SP_0195_LCM	5	12005	84.46
S_12005_CPT_1	RatKidney	CPT	1	CIS	3	288	BCL_SP_0195_LCM	5	12005	42.85
S_12005_PPT_1	RatKidney	PPT	1	CIS	3	288	BCL_SP_0195_LCM	5	12005	3.01
S_13001	RatKidney	WHOLE	1	CIS	1	672	BCL_SP_0195_LCM	5	13001	84.84
S_13001_CPT_1	RatKidney	CPT	1	CIS	1	672	BCL_SP_0195_LCM	5	13001	34.22
S_13001_PPT_1	RatKidney	PPT	1	CIS	1	672	BCL_SP_0195_LCM	5	13001	70.24
S_13003	RatKidney	WHOLE	1	CIS	2	672	BCL_SP_0195_LCM	5	13003	89.42
S_13003_CPT_1	RatKidney	CPT	1	CIS	2	672	BCL_SP_0195_LCM	5	13003	53.48
S_13003_PPT_1	RatKidney	PPT	1	CIS	2	672	BCL_SP_0195_LCM	5	13003	47.34
S_13005	RatKidney	WHOLE	1	CIS	3	672	BCL_SP_0195_LCM	5	13005	89.59
S_13005_CPT_1	RatKidney	CPT	1	CIS	3	672	BCL_SP_0195_LCM	5	13005	21.63
S_13005_PPT_1	RatKidney	PPT	1	CIS	3	672	BCL_SP_0195_LCM	5	13005	63.95
S_14001	RatKidney	WHOLE	1	CIS	1	1	BCL_SP_0195_LCM	5	14001	89.94
S_14001_CPT_1	RatKidney	CPT	1	CIS	1	1	BCL_SP_0195_LCM	5	14001	22.64
S_14001_PPT_1	RatKidney	PPT	1	CIS	1	1	BCL_SP_0195_LCM	5	14001	57.67
S_14003	RatKidney	WHOLE	1	CIS	2	1	BCL_SP_0195_LCM	5	14003	93.1
S_14003_CPT_1	RatKidney	CPT	1	CIS	2	1	BCL_SP_0195_LCM	5	14003	57.53
S_14003_PPT_1	RatKidney	PPT	1	CIS	2	1	BCL_SP_0195_LCM	5	14003	44.14
S_14005	RatKidney	WHOLE	1	CIS	3	1	BCL_SP_0195_LCM	5	14005	93.24
S_14005_CPT_1	RatKidney	CPT	1	CIS	3	1	BCL_SP_0195_LCM	5	14005	79.49
S_14005_PPT_1	RatKidney	PPT	1	CIS	3	1	BCL_SP_0195_LCM	5	14005	81.88
S_15001	RatKidney	WHOLE	1	CIS	1	2	BCL_SP_0195_LCM	5	15001	95.8
S_15001_CPT_1	RatKidney	CPT	1	CIS	1	2	BCL_SP_0195_LCM	5	15001	73.35
S_15001_PPT_1	RatKidney	PPT	1	CIS	1	2	BCL_SP_0195_LCM	5	15001	4.1
S_15003	RatKidney	WHOLE	1	CIS	2	2	BCL_SP_0195_LCM	5	15003	96.3
S_15003_CPT_1	RatKidney	CPT	1	CIS	2	2	BCL_SP_0195_LCM	5	15003	52.96
S_15003_PPT_1	RatKidney	PPT	1	CIS	2	2	BCL_SP_0195_LCM	5	15003	74.63
S_15005	RatKidney	WHOLE	1	CIS	3	2	BCL_SP_0195_LCM	5	15005	93.34
S_15005_CPT_1	RatKidney	CPT	1	CIS	3	2	BCL_SP_0195_LCM	5	15005	37.22
S_15005_PPT_1	RatKidney	PPT	1	CIS	3	2	BCL_SP_0195_LCM	5	15005	77.6
S_16001	RatKidney	WHOLE	1	CIS	1	4	BCL_SP_0195_LCM	5	16001	96.11
S_16001_CPT_1	RatKidney	CPT	1	CIS	1	4	BCL_SP_0195_LCM	5	16001	51.41
S_16001_PPT_1	RatKidney	PPT	1	CIS	1	4	BCL_SP_0195_LCM	5	16001	5.76
S_16003	RatKidney	WHOLE	1	CIS	2	4	BCL_SP_0195_LCM	5	16002	95.64
S_16003_CPT_1	RatKidney	CPT	1	CIS	2	4	BCL_SP_0195_LCM	5	16003	44.06
S_16003_PPT_1	RatKidney	PPT	1	CIS	2	4	BCL_SP_0195_LCM	5	16003	77.29
S_16005	RatKidney	WHOLE	1	CIS	3	4	BCL_SP_0195_LCM	5	16003	88.95
S_16005_CPT_1	RatKidney	CPT	1	CIS	3	4	BCL_SP_0195_LCM	5	16005	46.8
S_16005_PPT_1	RatKidney	PPT	1	CIS	3	4	BCL_SP_0195_LCM	5	16005	18.22
S_2001	RatKidney	WHOLE	1	CIS	1	192	BCL_SP_0195_LCM	0	2001	86.16
S_2001_CPT_1	RatKidney	CPT	1	CIS	1	192	BCL_SP_0195_LCM	0	2001	1.56
S_2001_PPT_1	RatKidney	PPT	1	CIS	1	192	BCL_SP_0195_LCM	0	2001	59.59
S_2003	RatKidney	WHOLE	1	CIS	2	192	BCL_SP_0195_LCM	0	2003	88.48
S_2003_CPT_1	RatKidney	CPT	1	CIS	2	192	BCL_SP_0195_LCM	0	2003	54.77
S_2003_PPT_1	RatKidney	PPT	1	CIS	2	192	BCL_SP_0195_LCM	0	2003	32.03
S_2005	RatKidney	WHOLE	1	CIS	3	192	BCL_SP_0195_LCM	0	2003	85.03
S_2005_CPT_1	RatKidney	CPT	1	CIS	3	192	BCL_SP_0195_LCM	0	2005	16.87
S_2005_PPT_1	RatKidney	PPT	1	CIS	3	192	BCL_SP_0195_LCM	0	2005	61.59
S_3001	RatKidney	WHOLE	1	CIS	1	360	BCL_SP_0195_LCM	0	3001	93.92
S_3001_CPT_1	RatKidney	CPT	1	CIS	1	360	BCL_SP_0195_LCM	0	3001	17.24
S_3001_PPT_1	RatKidney	PPT	1	CIS	1	360	BCL_SP_0195_LCM	0	3001	59.67
S_3003	RatKidney	WHOLE	1	CIS	2	360	BCL_SP_0195_LCM	0	3003	87.93
S_3003_CPT_1	RatKidney	CPT	1	CIS	2	360	BCL_SP_0195_LCM	0	3003	45.59
S_3003_PPT_1	RatKidney	PPT	1	CIS	2	360	BCL_SP_0195_LCM	0	3003	45.37
S_3005	RatKidney	WHOLE	1	CIS	3	360	BCL_SP_0195_LCM	0	3005	87.92
S_3005_CPT_1	RatKidney	CPT	1	CIS	3	360	BCL_SP_0195_LCM	0	3005	58.14
S_3005_PPT_1	RatKidney	PPT	1	CIS	3	360	BCL_SP_0195_LCM	0	3005	4.92
S_4001	RatKidney	WHOLE	1	CIS	1	672	BCL_SP_0195_LCM	0	4001	89.61
S_4001_CPT_1	RatKidney	CPT	1	CIS	1	672	BCL_SP_0195_LCM	0	4001	65.81
S_4001_PPT_1	RatKidney	PPT	1	CIS	1	672	BCL_SP_0195_LCM	0	4001	9.36
S_4003	RatKidney	WHOLE	1	CIS	2	672	BCL_SP_0195_LCM	0	4003	95
S_4003_CPT_1	RatKidney	CPT	1	CIS	2	672	BCL_SP_0195_LCM	0	4003	50.09
S_4003_PPT_1	RatKidney	PPT	1	CIS	2	672	BCL_SP_0195_LCM	0	4003	9.08
S_4005	RatKidney	WHOLE	1	CIS	3	672	BCL_SP_0195_LCM	0	4005	95.39
S_4005_CPT_1	RatKidney	CPT	1	CIS	3	672	BCL_SP_0195_LCM	0	4005	61.7
S_4005_PPT_1	RatKidney	PPT	1	CIS	3	672	BCL_SP_0195_LCM	0	4005	18.45
S_5001	RatKidney	WHOLE	1	CIS	1	24	BCL_SP_0195_LCM	5	5001	88.75
S_5001_CPT_1	RatKidney	CPT	1	CIS	1	24	BCL_SP_0195_LCM	5	5001	23.61
S_5001_PPT_1	RatKidney	PPT	1	CIS	1	24	BCL_SP_0195_LCM	5	5001	9.67
S_5003	RatKidney	WHOLE	1	CIS	2	24	BCL_SP_0195_LCM	5	5003	89.8
S_5003_CPT_1	RatKidney	CPT	1	CIS	2	24	BCL_SP_0195_LCM	5	5003	11.92
S_5003_PPT_1	RatKidney	PPT	1	CIS	2	24	BCL_SP_0195_LCM	5	5003	31.83
S_5005	RatKidney	WHOLE	1	CIS	3	24	BCL_SP_0195_LCM	5	5005	88.72
S_5005_CPT_1	RatKidney	CPT	1	CIS	3	24	BCL_SP_0195_LCM	5	5005	74.28
S_5005_PPT_1	RatKidney	PPT	1	CIS	3	24	BCL_SP_0195_LCM	5	5005	4.01
S_6001	RatKidney	WHOLE	1	CIS	1	72	BCL_SP_0195_LCM	5	6001	83.94
S_6001_CPT_1	RatKidney	CPT	1	CIS	1	72	BCL_SP_0195_LCM	5	6001	45.34
S_6001_PPT_1	RatKidney	PPT	1	CIS	1	72	BCL_SP_0195_LCM	5	6001	43.21
S_6003	RatKidney	WHOLE	1	CIS	2	72	BCL_SP_0195_LCM	5	6003	92.33
S_6003_CPT_1	RatKidney	CPT	1	CIS	2	72	BCL_SP_0195_LCM	5	6003	70.39
S_6003_PPT_1	RatKidney	PPT	1	CIS	2	72	BCL_SP_0195_LCM	5	6003	52.04
S_6005	RatKidney	WHOLE	1	CIS	3	72	BCL_SP_0195_LCM	5	6005	93.91
S_6005_CPT_1	RatKidney	CPT	1	CIS	3	72	BCL_SP_0195_LCM	5	6005	19.18
S_6005_PPT_1	RatKidney	PPT	1	CIS	3	72	BCL_SP_0195_LCM	5	6005	41.27
S_7001	RatKidney	WHOLE	1	CIS	1	120	BCL_SP_0195_LCM	5	7001	88.9
S_7001_CPT_1	RatKidney	CPT	1	CIS	1	120	BCL_SP_0195_LCM	5	7001	60.23
S_7001_PPT_1	RatKidney	PPT	1	CIS	1	120	BCL_SP_0195_LCM	5	7001	56.24
S_7003	RatKidney	WHOLE	1	CIS	2	120	BCL_SP_0195_LCM	5	7003	89.16
S_7003_CPT_1	RatKidney	CPT	1	CIS	2	120	BCL_SP_0195_LCM	5	7003	58.49
S_7003_PPT_1	RatKidney	PPT	1	CIS	2	120	BCL_SP_0195_LCM	5	7003	3.19
S_7005	RatKidney	WHOLE	1	CIS	3	120	BCL_SP_0195_LCM	5	7005	88.86
S_7005_CPT_1	RatKidney	CPT	1	CIS	3	120	BCL_SP_0195_LCM	5	7005	69.44
S_7005_PPT_1	RatKidney	PPT	1	CIS	3	120	BCL_SP_0195_LCM	5	7005	68.63
S_8001	RatKidney	WHOLE	1	CIS	1	192	BCL_SP_0195_LCM	5	8001	87.91
S_8001_CPT_1	RatKidney	CPT	1	CIS	1	192	BCL_SP_0195_LCM	5	8001	54.26
S_8001_PPT_1	RatKidney	PPT	1	CIS	1	192	BCL_SP_0195_LCM	5	8001	29.68
S_8003	RatKidney	WHOLE	1	CIS	2	192	BCL_SP_0195_LCM	5	8003	92.06
S_8003_CPT_1	RatKidney	CPT	1	CIS	2	192	BCL_SP_0195_LCM	5	8003	29.38
S_8003_PPT_1	RatKidney	PPT	1	CIS	2	192	BCL_SP_0195_LCM	5	8003	27.4
S_8005	RatKidney	WHOLE	1	CIS	3	192	BCL_SP_0195_LCM	5	8005	92.61
S_8005_CPT_1	RatKidney	CPT	1	CIS	3	192	BCL_SP_0195_LCM	5	8005	26.32
S_8005_PPT_1	RatKidney	PPT	1	CIS	3	192	BCL_SP_0195_LCM	5	8005	49.37
S_9001	RatKidney	WHOLE	1	CIS	1	240	BCL_SP_0195_LCM	5	9001	89.54
S_9001_CPT_1	RatKidney	CPT	1	CIS	1	240	BCL_SP_0195_LCM	5	9001	30.59
S_9001_PPT_1	RatKidney	PPT	1	CIS	1	240	BCL_SP_0195_LCM	5	9001	80.21
S_9003	RatKidney	WHOLE	1	CIS	2	240	BCL_SP_0195_LCM	5	9003	92.84
S_9003_CPT_1	RatKidney	CPT	1	CIS	2	240	BCL_SP_0195_LCM	5	9003	69.95
S_9003_PPT_1	RatKidney	PPT	1	CIS	2	240	BCL_SP_0195_LCM	5	9003	35.45
S_9005	RatKidney	WHOLE	1	CIS	3	240	BCL_SP_0195_LCM	5	9005	94.8
S_9005_CPT_1	RatKidney	CPT	1	CIS	3	240	BCL_SP_0195_LCM	5	9005	70.18
S_9005_PPT_1	RatKidney	PPT	1	CIS	3	240	BCL_SP_0195_LCM	5	9005	4.26
S_5003_CPT_2	RatKidney	CPT	2	CIS	2	24	BCL_SP_0195_LCM	5	5003	0.79
S_11003_PPT_2	RatKidney	PPT	2	CIS	2	360	BCL_SP_0195_LCM	5	11003	0.88
S_16001_PPT_2	RatKidney	PPT	2	CIS	1	4	BCL_SP_0195_LCM	5	16001	1.15
S_9005_PPT_2	RatKidney	PPT	2	CIS	3	240	BCL_SP_0195_LCM	5	9005	1.66
S_12005_PPT_2	RatKidney	PPT	2	CIS	3	288	BCL_SP_0195_LCM	5	12005	2.02
S_3001_CPT_2	RatKidney	CPT	2	CIS	1	360	BCL_SP_0195_LCM	0	3001	2.11
S_11001_PPT_2	RatKidney	PPT	2	CIS	1	360	BCL_SP_0195_LCM	5	11001	2.24
S_10005_PPT_2	RatKidney	PPT	2	CIS	3	480	BCL_SP_0195_LCM	5	10005	2.59
S_2001_CPT_2	RatKidney	CPT	2	CIS	1	192	BCL_SP_0195_LCM	0	2001	3.37
S_11005_PPT_2	RatKidney	PPT	2	CIS	3	360	BCL_SP_0195_LCM	5	11005	4.18
S_8003_CPT_2	RatKidney	CPT	2	CIS	2	192	BCL_SP_0195_LCM	5	8003	4.71
S_7003_PPT_2	RatKidney	PPT	2	CIS	2	120	BCL_SP_0195_LCM	5	7003	4.91
S_1005_CPT_2	RatKidney	CPT	2	CIS	3	24	BCL_SP_0195_LCM	0	1005	6.75
S_11001_CPT_2	RatKidney	CPT	2	CIS	1	360	BCL_SP_0195_LCM	5	11001	10.61
S_5005_PPT_2	RatKidney	PPT	2	CIS	3	24	BCL_SP_0195_LCM	5	5005	13.82
S_12003_PPT_2	RatKidney	PPT	2	CIS	2	480	BCL_SP_0195_LCM	5	12003	24.21
S_2003_PPT_2	RatKidney	PPT	2	CIS	2	192	BCL_SP_0195_LCM	0	2003	26.33
S_5001_PPT_2	RatKidney	PPT	2	CIS	1	24	BCL_SP_0195_LCM	5	5001	28.42
S_14001_CPT_2	RatKidney	CPT	2	CIS	1	1	BCL_SP_0195_LCM	5	14001	28.46
S_3005_PPT_2	RatKidney	PPT	2	CIS	3	360	BCL_SP_0195_LCM	0	3005	37.9
S_10003_PPT_2	RatKidney	PPT	2	CIS	2	288	BCL_SP_0195_LCM	5	10003	38.21
S_2005_PPT_2	RatKidney	PPT	2	CIS	3	192	BCL_SP_0195_LCM	0	2005	43.15
S_8005_CPT_2	RatKidney	CPT	2	CIS	3	192	BCL_SP_0195_LCM	5	8005	43.4
S_3005_CPT_2	RatKidney	CPT	2	CIS	3	360	BCL_SP_0195_LCM	0	3005	44.06
S_6005_CPT_2	RatKidney	CPT	2	CIS	3	72	BCL_SP_0195_LCM	5	6005	47.68
S_4003_PPT_2	RatKidney	PPT	2	CIS	2	672	BCL_SP_0195_LCM	0	4003	48.24
S_2005_CPT_2	RatKidney	CPT	2	CIS	3	192	BCL_SP_0195_LCM	0	2005	48.45
S_15001_PPT_2	RatKidney	PPT	2	CIS	1	2	BCL_SP_0195_LCM	5	15001	52.41
S_4005_PPT_2	RatKidney	PPT	2	CIS	3	672	BCL_SP_0195_LCM	0	4005	55.12
S_4003_CPT_2	RatKidney	CPT	2	CIS	2	672	BCL_SP_0195_LCM	0	4003	58.03
S_16005_PPT_2	RatKidney	PPT	2	CIS	3	4	BCL_SP_0195_LCM	5	16005	59.75
S_13005_CPT_2	RatKidney	CPT	2	CIS	3	672	BCL_SP_0195_LCM	5	13005	60.71
S_10001_CPT_2	RatKidney	CPT	2	CIS	1	288	BCL_SP_0195_LCM	5	10001	62
S_7005_CPT_2	RatKidney	CPT	2	CIS	3	120	BCL_SP_0195_LCM	5	7005	62.48
S_8001_CPT_2	RatKidney	CPT	2	CIS	1	192	BCL_SP_0195_LCM	5	8001	63.2
S_4001_PPT_2	RatKidney	PPT	2	CIS	1	672	BCL_SP_0195_LCM	0	4001	66.66
S_5001_CPT_2	RatKidney	CPT	2	CIS	1	24	BCL_SP_0195_LCM	5	5001	70.44
